#FamilyID	pvalue	Significant at 0.05
OG0000007	0	y
OG0000009	0	y
OG0000010	0	y
OG0000011	0	y
OG0000018	0	y
OG0000026	0	y
OG0000027	0	y
OG0000028	0	y
OG0000030	0	y
OG0000031	0	y
OG0000032	0	y
OG0000035	0	y
OG0000036	0	y
OG0000037	0	y
OG0000038	0	y
OG0000039	0	y
OG0000045	0	y
OG0000046	0	y
OG0000047	0	y
OG0000048	0	y
OG0000049	0	y
OG0000050	0	y
OG0000051	0	y
OG0000053	0	y
OG0000055	0	y
OG0000056	0	y
OG0000059	0	y
OG0000060	0	y
OG0000061	0	y
OG0000062	0	y
OG0000064	0	y
OG0000066	0	y
OG0000068	0	y
OG0000073	0	y
OG0000077	0	y
OG0000078	0	y
OG0000079	0	y
OG0000082	0	y
OG0000084	0	y
OG0000085	0	y
OG0000088	0	y
OG0000090	0	y
OG0000091	0	y
OG0000093	0	y
OG0000095	0	y
OG0000097	0	y
OG0000098	0	y
OG0000099	0	y
OG0000101	0	y
OG0000102	0	y
OG0000105	0	y
OG0000108	0	y
OG0000109	0	y
OG0000110	0	y
OG0000111	0	y
OG0000115	0	y
OG0000116	0	y
OG0000122	0	y
OG0000124	0	y
OG0000125	0	y
OG0000126	0	y
OG0000129	0.001	y
OG0000130	0	y
OG0000134	0	y
OG0000136	0	y
OG0000137	0	y
OG0000138	0	y
OG0000139	0	y
OG0000140	0	y
OG0000141	0	y
OG0000145	0	y
OG0000146	0	y
OG0000147	0	y
OG0000153	0	y
OG0000154	0	y
OG0000155	0	y
OG0000156	0	y
OG0000158	0	y
OG0000159	0	y
OG0000160	0	y
OG0000161	0	y
OG0000162	0	y
OG0000163	0	y
OG0000164	0	y
OG0000165	0	y
OG0000166	0	y
OG0000167	0	y
OG0000172	0	y
OG0000173	0	y
OG0000176	0	y
OG0000177	0	y
OG0000179	0	y
OG0000180	0.005	y
OG0000181	0	y
OG0000182	0	y
OG0000183	0	y
OG0000184	0	y
OG0000189	0	y
OG0000190	0	y
OG0000191	0	y
OG0000192	0	y
OG0000193	0	y
OG0000194	0	y
OG0000197	0	y
OG0000198	0	y
OG0000199	0	y
OG0000200	0	y
OG0000202	0	y
OG0000203	0	y
OG0000207	0	y
OG0000209	0	y
OG0000210	0	y
OG0000211	0	y
OG0000214	0	y
OG0000215	0	y
OG0000216	0	y
OG0000217	0	y
OG0000219	0	y
OG0000220	0	y
OG0000221	0	y
OG0000225	0.002	y
OG0000228	0	y
